metal,linker
Zn,"2,2'-bipyridine-3,3',6,6'-tetracarboxylic acid"
Zn,"2,2′-biselenophene-5,5′-dicarboxylic acid"
Zn,"2,3,6,7,10,11-hexaaminotriphenylene hexahydrochloride"
Zn,"2,3,6,7,10,11-hexahydroxytriphenylene"
Zn,"2,3,6,7,10,11-hexahydroxytriphenylene hydrate"
Zn,"2,3-pyrazinedicarboxylic acid"
Zn,"2,4,6-Tris(4-pyridyl)pyridine"
Zn,"2,4,6-tris(3-pyridyl)-1,3,5-triazine"
Zn,"2,5,8-tri-(4-pyridyl)-1,3,4,6,7,9-hexaazaphenalene"
Zn,"2,5-piperazinedione-1,4-diacetic acid"
Zn,"2-((1H-1,2,4-triazol-1-yl)methyl)-1H-imidazole-4,5-dicarboxylic acid"
Zn,2-((pyridin-4-ylmethyl)amino)terephthalic acid
Zn,"2-(2-sulfophenyl)imidazo(4,5-f)(1,10)-phenanthroline"
Zn,"2-(4-carboxyphenyl)imidazo[4,5-f]-1,10-phenanthroline"
Zn,2-(imidazole-1-yl)terephthalic acid
Zn,"2-amino-[1,1′-biphenyl]-4,4′-dicarboxylic acid"
Zn,2-aminoterephthalic acid disodium salt monohydrate
Zn,"2-ethynyl-[1,1′-biphenyl]-4,4′-dicarboxylic acid"
Zn,2-pyrazinecarboxylic acid
Zn,2-sulfoterephthalic acid monosodium salt
Zn,"2′,5′-dimethoxy-[1,1′:4′,1′′-terphenyl]-4,4′′-dicarboxylic acid"
Zn,"3,3',4,4'-biphenyltetracarboxylic acid"
Zn,"3,3′,4,4′-biphenyltetracarboxylic acid"
Zn,"3,5-bis((4'-carboxylbenzyl)oxy)benzoic acid"
Zn,"3,5-bis(3,5-dicarboxylphenoxy)benzoic acid"
Zn,"3,5-bis(3-pyridyl-3-(3′-methylphenyl)-1,3,4-oxadiazole"
Zn,"3,5-di(1H-benzimidazol-1-yl)pyridine"
Zn,"3,6-di(4H-imidazol-4-yl)benzene-1,2-diamine"
Zn,3-((6-carboxynaphthalen-2-yl)oxy)phthalic acid
Zn,3-amino-4-hydroxybenzoic acid
Zn,3-fluoro-4-pyridinecarboxylic acid
Zn,3-methyl pyridine
Zn,3-methyladipic acid
Zn,3-pyridylmethyl phosphonic acid
Zn,"4,4',4''-Tricarboxytriphenylamine"
Zn,"4,4'-(1E,1'E)-2,2'-(2,5-dimethoxy-1,4-phenylene)bis(ethene-2,1-diyl)dibenzoic acid"
Zn,"4,4'-dicarboxy-2,2'-bipyridine"
Zn,"4,4'-dicarboxydiphenyl sulfone"
Zn,"4,4'-stilbenedicarboxylic acid"
Zn,"4,4′,4″,4‴-((9,10-dioxo-9,10-dihydroanthracene-2,6-diyl)bis(azanetriyl))tetrabenzoic acid"
Zn,"4,4′,4″-{[(2,4,6-trimethylbenzene-1,3,5-triyl)tris(methylene)]tris(oxy)}tribenzoic acid"
Zn,"4,4′-(1,4-(xylene)diyl)bis(1,2,4-triazole)"
Zn,"4,4′-(1H-1,2,4-triazol-1-yl)methylenebis(benzoic acid)"
