"2,5-diaminoterephthalic acid",196.16
"2,5-dihydroxybenzene-1,4-dicarboxylic acid",198.13
"2,5-dihydroxyterephthalic acid",198.13
"2,5-Dihydroxyterephthalic acid",198.13
"2,5-dimercapto-1,4-benzenedicarboxylic acid",230.3
"2,5-dimethylterephthalic acid",194.18
"2,5-furandicarboxylic acid",156.09
"2,5-pyridinedicarboxylic acid",167.12
"2,5-pyrroledicarboxylic acid",
"2,5-thiophenedicarboxylic acid",172.16
"2,6-azulenedicarboxylic acid",
"2,6-naphthalene dicarboxylic acid",216.19
"2,6-naphthalenedicarboxylic acid",216.19
2-((benzyl)amino)terephthalic acid,
2-((pyridin-2-ylmethyl)amino)-terephthalic acid,
2-(1H-tetrazol-5-yl)pyrimidine,148.13
"2-[4-(4-methoxy-2,2,6,6-tetramethylpiperidine-1-oxyl)-1H-1,2,3-triazol-1-yl]benzene-1,4-dicarboxylic acid",
"2-[4-(4-methoxy-2,2,6,6-tetramethylpiperidine-1-oxyl)-1H-1,2,3-triazol-1-yl]biphenyl-4,4′-dicarboxylic acid",
2-amino terephthalic acid,181.15
"2-amino-1,4-benzenedicarboxylic acid",181.15
2-amino-5-nitroterephthalic acid,226.14
"2-amino-[1,1′-biphenyl]-4,4′-dicarboxylic acid",
"2-amino-benzene-1,4-dicarboxylic acid",
"2-aminobenzene-1,4-dicarboxylic acid",181.15
"2-aminobiphenyl-4,4'-dicarboxylic acid",
2-aminoterephthalic acid,181.15
"2-azido-[1,1′-biphenyl]-4,4′-dicarboxylic acid",
"2-bromo-1,4-benzenedicarboxylic acid",245.03
2-bromoterephthalic acid,245.03
2-carboxyethylphosphonic acid,154.06
2-ethylimidazole,96.13
"2-ethynyl-[1,1′-biphenyl]-4,4′-dicarboxylic acid",
"2-formamido benzene-1,4-dicarboxylic acid",
"2-hydroxy-1,4-benzenedicarboxylic acid",182.13
2-hydroxyterephthalic acid,182.13
2-methoxy-4-(1H-pyrazol-4-yl)benzoic acid,218.21
2-methyl imidazole,82.1
2-methyl-imidazole,82.1
2-methylimidazole,82.1
2-methylterephthalic acid,180.16
"2-nitro-[1,1′-biphenyl]-4,4′-dicarboxylic acid",
"2-nitrobenzene-1,4-dicarboxylic acid",211.13
"2-nitrobiphenyl-4,4'-dicarboxylic acid",287.22
2-nitroterephthalic acid,211.13
2-pytz,
2-pytz (5-(pyridyl) tetrazolate),
